lat,lon,popup
51.5074,-0.1278,Buckingham Palace (London)
48.8566,2.3522,Eiffel Tower (Paris)
40.7128,-74.0060,Statue of Liberty (New York)
34.0522,-118.2437,Griffith Observatory (Los Angeles)
37.7749,-122.4194,Golden Gate Bridge (San Francisco)
19.4326,-99.1332,Zocalo (Mexico City)
-23.5505,-46.6333,Ibirapuera Park (Sao Paulo)
-34.6037,-58.3816,Obelisco (Buenos Aires)
-1.2921,36.8219,Kenyatta International (Nairobi)
35.6895,139.6917,Shinjuku Station (Tokyo)
37.5665,126.9780,Gyeongbokgung (Seoul)
31.2304,121.4737,The Bund (Shanghai)
-33.8688,151.2093,Sydney Opera House (Sydney)
1.3521,103.8198,Marina Bay Sands (Singapore)
28.6139,77.2090,India Gate (New Delhi)
55.7558,37.6176,Red Square (Moscow)
64.1265,-21.8174,Hallgrimskirkja (Reykjavik)
47.6062,-122.3321,Pike Place Market (Seattle)
